Protein_name	Condition1_Rep_1_Frac1	Condition1_Rep_1_Frac2	Condition1_Rep_1_Frac3	Condition1_Rep_1_Frac4	Condition1_Rep_1_Frac5	Condition1_Rep_1_Frac6	Condition1_Rep_1_Frac7	Condition1_Rep_1_Frac8	Condition1_Rep_1_Frac9	Condition1_Rep_1_Frac10	Condition1_Rep_1_Frac11	Condition1_Rep_1_Frac12	Condition1_Rep_1_Frac13	Condition1_Rep_1_Frac14	Condition1_Rep_1_Frac15	Condition1_Rep_1_Frac16	Condition1_Rep_1_Frac17	Condition1_Rep_1_Frac18	Condition1_Rep_1_Frac19	Condition1_Rep_1_Frac20	Condition1_Rep_1_Frac21	Condition1_Rep_1_Frac22	Condition1_Rep_1_Frac23	Condition1_Rep_1_Frac24	Condition1_Rep_1_Frac25	Condition1_Rep_1_Frac26	Condition1_Rep_1_Frac27	Condition1_Rep_1_Frac28	Condition1_Rep_1_Frac29	Condition1_Rep_1_Frac30	Condition1_Rep_1_Frac31	Condition1_Rep_1_Frac32	Condition1_Rep_1_Frac33	Condition1_Rep_1_Frac34	Condition1_Rep_1_Frac35	Condition1_Rep_1_Frac36	Condition1_Rep_1_Frac37	Condition1_Rep_1_Frac38	Condition1_Rep_1_Frac39	Condition1_Rep_1_Frac40	Condition2_Rep_1_Frac1	Condition2_Rep_1_Frac2	Condition2_Rep_1_Frac3	Condition2_Rep_1_Frac4	Condition2_Rep_1_Frac5	Condition2_Rep_1_Frac6	Condition2_Rep_1_Frac7	Condition2_Rep_1_Frac8	Condition2_Rep_1_Frac9	Condition2_Rep_1_Frac10	Condition2_Rep_1_Frac11	Condition2_Rep_1_Frac12	Condition2_Rep_1_Frac13	Condition2_Rep_1_Frac14	Condition2_Rep_1_Frac15	Condition2_Rep_1_Frac16	Condition2_Rep_1_Frac17	Condition2_Rep_1_Frac18	Condition2_Rep_1_Frac19	Condition2_Rep_1_Frac20	Condition2_Rep_1_Frac21	Condition2_Rep_1_Frac22	Condition2_Rep_1_Frac23	Condition2_Rep_1_Frac24	Condition2_Rep_1_Frac25	Condition2_Rep_1_Frac26	Condition2_Rep_1_Frac27	Condition2_Rep_1_Frac28	Condition2_Rep_1_Frac29	Condition2_Rep_1_Frac30	Condition2_Rep_1_Frac31	Condition2_Rep_1_Frac32	Condition2_Rep_1_Frac33	Condition2_Rep_1_Frac34	Condition2_Rep_1_Frac35	Condition2_Rep_1_Frac36	Condition2_Rep_1_Frac37	Condition2_Rep_1_Frac38	Condition2_Rep_1_Frac39	Condition2_Rep_1_Frac40	Condition3_Rep_1_Frac1	Condition3_Rep_1_Frac2	Condition3_Rep_1_Frac3	Condition3_Rep_1_Frac4	Condition3_Rep_1_Frac5	Condition3_Rep_1_Frac6	Condition3_Rep_1_Frac7	Condition3_Rep_1_Frac8	Condition3_Rep_1_Frac9	Condition3_Rep_1_Frac10	Condition3_Rep_1_Frac11	Condition3_Rep_1_Frac12	Condition3_Rep_1_Frac13	Condition3_Rep_1_Frac14	Condition3_Rep_1_Frac15	Condition3_Rep_1_Frac16	Condition3_Rep_1_Frac17	Condition3_Rep_1_Frac18	Condition3_Rep_1_Frac19	Condition3_Rep_1_Frac20	Condition3_Rep_1_Frac21	Condition3_Rep_1_Frac22	Condition3_Rep_1_Frac23	Condition3_Rep_1_Frac24	Condition3_Rep_1_Frac25	Condition3_Rep_1_Frac26	Condition3_Rep_1_Frac27	Condition3_Rep_1_Frac28	Condition3_Rep_1_Frac29	Condition3_Rep_1_Frac30	Condition3_Rep_1_Frac31	Condition3_Rep_1_Frac32	Condition3_Rep_1_Frac33	Condition3_Rep_1_Frac34	Condition3_Rep_1_Frac35	Condition3_Rep_1_Frac36	Condition3_Rep_1_Frac37	Condition3_Rep_1_Frac38	Condition3_Rep_1_Frac39	Condition3_Rep_1_Frac40
Protein2458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5532100	0	3872700	35309000	31879000	5906300	0	0	2905000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540970000	2861800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2459	0	0	0	0	0	0	0	0	0	1976800	1696300	45179000	161500000	16577000	8844900	686450000	104580000	32612000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5167500	9010100	0	0	1686800	2669500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17995000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2460	3031300	12028000	2762400	0	0	0	0	0	0	0	0	4239300	3658500	0	0	6903400	0	39198000	0	8776300	0	6615900	4354300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21385000	39592000	18077000	12189000	2846800	0	9633300	6874500	27173000	5152100	0	0	0	0	13687000	19729000	48820000	66326000	202280000	44515000	22827000	29232000	15364000	8834800	5024500	0	0	0	0	0	0	0	0	0	0	0	0	0	7605800	11417000	22231000	14283000	7326000	9259700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5374400	0	21517000	22724000	14058000	0	8932800	0	0	0	0	0	0	0	0	0	0	0	0	9789600	0	0
Protein2461	0	0	0	0	0	0	11169000	84137000	76740000	148770000	76133000	72441000	49072000	17352000	15723000	41859000	43405000	186060000	17883000	18309000	64096000	114410000	160910000	105620000	540590000	235790000	64855000	12850000	18901000	90662000	20463000	4547200	0	0	0	0	0	0	0	0	5693500	2602500	1802600	0	0	0	7636800	5318200	28193000	57654000	15065000	8350700	7955700	9478400	9147500	47616000	7979100	0	52428000	51745000	30545000	70157000	30195000	22164000	50257000	54660000	24087000	0	6365200	2588100	0	2269900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3757000	0	0	0	0	0	0	0	0	0	0	0	0	16151000	20610000	22265000	58267000	5293900	37376000	38558000	20968000	19490000	0	0	0	0	0	0	0	0
Protein2462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10897000	32329000	27329000	0	0	4226800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4218900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31260000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5929800	8957600	4556000	21030000	12568000	2081700	0	0	0	0	5353200	205490000	893700000	3198400000	4239300000	4750600000	3045900000	1875500000	1060400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6067700	49825000	353140000	1324200000	2206300000	2538900000	1550400000	1069100000	301700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26410000	127470000	319400000	425820000	804990000	407080000	79826000	120680000
Protein2464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13506000	49247000	49867000	42911000	38488000	69005000	284290000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5099500	7009200	23102000	35651000	71656000	31274000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90656000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24576000	59485000	277480000	122730000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192830000	19515000	296760000	3526300000	9369900000	2819600000	2662400000	4678400000	7891300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666130000	1054100000	326650000	1002900000	679890000	1013600000	218440000	1419500000	0	0	0	0	4283600	17853000	4056800	8687400	7226000	5761000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6998900	1150000000	543120000	1048700000	383320000	345220000	77434000	57430000
Protein2467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4894500	11419000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16226000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2468	232250000	1011100000	782510000	658500000	426150000	1010000000	759150000	1223200000	685240000	901000000	405090000	307410000	283580000	139630000	72166000	0	18922000	80273000	5978200	8700800	14036000	18241000	23491000	8595000	296890000	483860000	407440000	62442000	29155000	421990000	38906000	9199200	18546000	5597700	7169800	2779200	4389100	0	0	6950900	69162000	265830000	482910000	911300000	1074900000	334240000	844570000	600420000	532470000	841460000	162460000	149510000	132710000	65746000	76325000	120950000	14552000	13526000	80219000	52814000	203170000	55214000	35714000	13468000	20513000	9291600	10063000	0	0	0	0	16977000	0	4951100	18683000	37277000	58311000	67898000	118800000	84185000	12488000	94482000	269910000	434330000	400440000	367330000	357260000	501820000	171500000	206310000	200470000	71376000	10466000	148870000	41441000	9664700	0	21948000	4475200	0	80154000	22625000	0	0	79442000	12928000	28695000	0	5259400	4066500	0	0	0	0	0	0	0	0	0	0
Protein2469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9372600	0	9175500	109400000	436550000	286270000	293140000	394960000	396380000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25708000	40519000	217790000	124030000	177380000	105870000	120100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14290000	19873000	36253000	20345000	7799100
Protein2470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6712900	25464000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2471	0	0	0	0	0	2503800	6057300	21578000	14235000	16830000	7038600	13148000	6360000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91356000	265430000	288420000	293090000	278520000	88793000	208530000	148480000	164610000	323290000	29358000	27325000	12480000	0	5659500	14387000	0	0	6467000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5453200	3927400	11999000	17819000	14202000	23663000	43862000	150620000	88081000	172010000	441100000	511880000	179020000	754760000	671560000	591390000	47658000	1001000000	339330000	92791000	2058400000	2751900000	866620000	1302600000	4342200000	1526800000	3385100000	409450000	1312300000	1312700000	805170000	1114500000	1287800000	413280000	226010000	239180000	661860000	539380000	530020000	451480000
Protein2472	0	0	0	0	0	0	0	7232400	12347000	3459300	12074000	16972000	9292400	0	0	0	0	0	0	0	0	0	0	0	3727400	0	0	0	0	0	0	0	0	0	0	0	7391800	17027000	29889000	40039000	0	9227400	3325100	3418100	4733700	0	5232500	12064000	0	13570000	0	0	5897500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2938400	4115900	30110000	12464000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2473	0	0	44674000	133060000	559160000	409760000	896670000	1959000000	1022700000	1248000000	599300000	237030000	272050000	134620000	154060000	527610000	214550000	475600000	51875000	58858000	63733000	166410000	297630000	195920000	791210000	456720000	190370000	55155000	49816000	684630000	193400000	130220000	323720000	106050000	108690000	46685000	39326000	55529000	66717000	142820000	0	0	0	81406000	255540000	335040000	674900000	742850000	519460000	1014700000	163880000	139670000	82264000	35634000	144130000	121940000	98046000	62195000	103210000	37035000	106130000	0	0	0	0	0	7380800	0	13612000	33863000	14683000	479230000	231040000	244880000	227490000	48287000	65020000	67075000	75364000	34585000	0	0	0	0	7710000	225150000	179060000	107920000	205600000	216950000	138210000	67929000	4144500	0	0	6500100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2474	11104000	16969000	9273500	19062000	43869000	6928400	7922000	8388600	2890500	8260800	5812700	1287100	3019700	1125500	0	4269100	0	3440500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8575700	80289000	383220000	1295100000	667130000	854580000	610420000	533240000	13350000	13702000	1227600	1366200	941200	267720	1487400	2153700	1617900	10305000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3391100	38051000	158100000	588800000	359950000	352810000	234510000	181090000	7177100	9643400	2128800	3087000	1301300	6689100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51734000	28618000	156030000	193160000	186930000	44925000	25826000
Protein2475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13273000	6311200	0	0	0	0	0	6653800	0	6670300	5264100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6068700	12551000	16622000	23775000	16022000	26893000	0	7156200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13357000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2476	2131700	18774000	0	0	0	0	0	0	0	0	0	0	12944000	0	6254800	0	13326000	0	0	0	0	27487000	29768000	24045000	153050000	70378000	61935000	24029000	11297000	28985000	23445000	20371000	85614000	34892000	62405000	81219000	60170000	54675000	28602000	80116000	26918000	29230000	18049000	15600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12104000	12653000	19137000	0	0	0	0	0	0	8795200	0	0	0	13336000	40441000	63160000	78370000	59714000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9185300	23899000	58374000
Protein2477	1019000	5435500	0	0	36628000	3297100	3317900	25689000	17388000	44970000	54959000	54684000	39127000	8117800	1960900	145620000	54891000	8922500	14572000	0	0	0	0	0	0	2566600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2950700	0	0	0	0	0	5245100	0	0	0	0	0	0	0	0	0	0	0	0	8460000	8800000	13739000	3046800	6994300	4226000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9488600	14098000	8116200	10200000	6255300	2708900	0	0	0	0	0	0	0	0	0
Protein2478	10078000	0	0	0	2198600	0	0	0	0	1031800	2284200	0	0	0	0	10216000	0	1235500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6981700	6340200	7942000	0	0	0	0	0	17287000	13675000	64656000	123490000	324900000	445570000	1036700000	540680000	973490000	936170000	322880000	208620000	241040000	0	124800000	268160000	31845000	19502000	46451000	32804000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2513000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11851000	0	7956700	12510000	1764800	0	0	0	0	0	0	0	0	0	0	0	0
Protein2479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2224800	7205600	25717000	74322000	212420000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4323200	13415000	47935000	73772000	130330000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9840000
Protein2480	14994000	80770000	29382000	7336400	6857100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1332700	0	0	0	0	0	0	0	0	0	0	5095300	15643000	13994000	9147200	4331200	914940	2153300	1917300	945030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1198200	5566000	6365400	4636100	3205500	11766000	1972200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2481	13923000	34553000	12940000	5516200	4301900	5217600	5777300	48387000	29320000	30500000	13080000	7423300	19409000	2862000	3668400	2976500	2772900	19019000	0	0	0	5173400	2754300	1768000	60082000	40439000	23806000	7719400	3508700	34471000	4969000	4141100	12789000	14072000	21246000	43486000	23766000	26735000	31626000	72764000	19579000	11695000	5183800	4282800	5543900	1166500	11891000	3445000	11548000	19567000	0	0	3763200	0	1944300	0	2066900	0	0	0	4220800	0	0	0	0	0	0	0	3001600	6300800	0	19729000	10547000	12972000	22684000	16189000	22538000	28967000	72792000	20934000	9614700	17133000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	902180	0	8807800	10980000	3240800	2015500	2098800	0	0	0	0	0	7667700	10376000
Protein2482	423020000	1059500000	1034900000	614540000	335720000	129750000	119610000	105220000	30346000	12195000	8097700	7013700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123420000	229770000	170480000	77512000	93469000	12739000	4652400	0	0	0	0	0	0	0	4152900	0	0	0	4052100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5367800	10253000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6411200	12358000	3172200	0	0	4785800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5816200	17446000	14699000	56109000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11507000	0	71015000	183560000	116280000	24472000	0	1251300	5447600	0	0	0	53060000	41249000	57719000	178270000	509860000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2083500	27132000	1157500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12183000	7621000	11377000	16687000	33356000	45076000	84413000	87370000	11965000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3036700	4371500	5076900	34587000	25415000	28836000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12362000	7326800	13823000	10935000	12186000	0	0
Protein2487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10968000	28386000	158250000	56314000	233570000	636280000	1252500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2824200	2004500	51560000	33583000	150330000	148300000	905970000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6674900
Protein2488	3891100	1664100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3150200	4066700	4314800	4629500	1515400	1491200	1837700	629070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016500	2512200	487890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2489	261230000	1101200000	648480000	387110000	149770000	201920000	107710000	263300000	61151000	83980000	38596000	61442000	63836000	5905700	4196500	0	3606900	0	0	0	0	0	0	0	10305000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157880000	403030000	344150000	355020000	189100000	30992000	63042000	41358000	26809000	25132000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3369000	20978000	27834000	16344000	10459000	0	0	0	6697000	11884000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2490	0	0	0	0	2258500	11384000	8342100	15844000	18687000	30901000	9062000	14918000	46781000	17686000	20264000	0	6029400	33024000	0	0	0	0	3358500	0	9536300	0	0	0	0	4975000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2614300	5552100	10845000	0	2992900	5250600	0	4760600	22894000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2491	0	25922000	15260000	9831400	26267000	2390700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001000	4237900	25461000	648210	1676000	1338800	1135000	564630	0	1185600	1407500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	887000	20818000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2492	0	0	0	0	0	0	0	0	0	0	0	3734400	0	6407000	14635000	23720000	46495000	338810000	56552000	94866000	107240000	120630000	90188000	30337000	136970000	25061000	2107500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4819000	13595000	20500000	21820000	100210000	134690000	167840000	238630000	189950000	128770000	89100000	54802000	33393000	2371400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9007000	4949600	0	63981000	19195000	35916000	30116000	65840000	7381600	14385000	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2493	0	0	0	0	0	0	0	0	0	0	2938000	11683000	28508000	36284000	37368000	1322800000	484180000	159410000	110290000	15487000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5539900	3386800	6766100	0	10460000	4770800	0	0	4189600	12292000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131860000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein2494	2490300	2422900	0	0	2963500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6859200	28552000	35606000	239140000	160260000	25599000	0	0	53751000	8892500	4433200	7067800	0	0	0	0	0	0	0	16378000	17739000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31242000	20013000	19832000	15410000	19287000	9384700	16130000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5985600	211490000	30288000	72517000	5580200	24627000	45132000	27158000	39157000	20913000	0	0	0	5269500	5406000	0	0
Protein2495	3707800	16557000	6111200	0	0	0	0	12792000	9547000	16650000	13745000	16457000	32064000	17418000	20824000	81669000	126840000	377840000	33437000	58930000	72327000	61252000	61384000	10496000	121560000	24607000	6766400	0	0	24702000	0	0	0	0	0	0	0	0	0	0	43925000	71388000	74817000	79373000	75748000	40662000	61188000	33595000	59855000	134890000	20870000	26571000	13273000	10363000	77345000	173400000	77576000	109690000	427170000	345360000	541520000	218140000	137650000	27489000	13768000	20845000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40500000	60890000	37383000	36677000	3813100	24568000	8373200	3603800	0	0	12630000	0	0	24594000	5822900	24479000	0	49410000	32311000	16619000	43738000	15558000	44047000	11793000	51076000	8405600	4249500	0	6391200	0	0	0	0	0	0	0	0	0	0	0
Protein2496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5241700	24198000	5690600	8519500	9891600	40291000	19332000	69140000	505640000	444560000	389100000	120840000	100280000	527070000	83500000	25736000	40892000	11752000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5436700	4844700	7350500	47507000	97198000	132430000	35079000	75699000	40268000	6937100	38244000	9329800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4322800	0	0	20481000	14857000	20474000	7514700	20397000	13072000	7040500	10514000	0	0	0	0	0	0	0	0
